query_id,strategy,config_id,condition_id,context_tokens,prompt_tokens,completion_tokens,total_tokens,generation_cost_usd,query_embedding_seconds,search_seconds,assembly_seconds,generation_seconds,end_to_end_seconds,generated_at_utc,generation_model,prompt_sha256
q4eu_001,fixed_size,fs_256_50,rq3_fixed_size,1612,1837,1699,3536,0.00346301,0.768968666998262,7.029100379440933e-05,0.05121158299152739,30.415617499995278,31.235868040988862,2026-07-19T18:44:27.158488+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_002,fixed_size,fs_256_50,rq3_fixed_size,1636,1865,1190,3055,0.00284625,0.26175795900053345,5.483299901243299e-05,0.0007512920128647238,12.21074508401216,12.47330916802457,2026-07-19T18:44:56.323049+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_003,fixed_size,fs_256_50,rq3_fixed_size,1588,1810,828,2638,0.00171426,0.2550779999946826,5.075000080978498e-05,0.0007482089858967811,20.633780292002484,20.889657250983873,2026-07-19T18:45:36.513314+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_004,fixed_size,fs_256_50,rq3_fixed_size,1660,1891,601,2492,0.00127155,0.3059455420006998,5.3834002756047994e-05,0.0007885420054662973,10.741252375009935,11.048040293018857,2026-07-19T18:45:56.528570+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_005,fixed_size,fs_256_50,rq3_fixed_size,1635,1862,886,2748,0.0018343,0.2620444580024923,4.9915994168259203e-05,0.0007810000097379088,14.0942042079987,14.357079582005099,2026-07-19T18:46:30.020332+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_006,fixed_size,fs_256_50,rq3_fixed_size,1675,1893,720,2613,0.00191325,0.2964690829976462,5.2916002459824085e-05,0.000806791998911649,21.97226216600393,22.269590957002947,2026-07-19T18:47:15.479759+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_007,fixed_size,fs_256_50,rq3_fixed_size,1584,1819,1506,3325,0.00346675,0.28711337500135414,5.220899765845388e-05,0.0007559999939985573,43.93863025002065,44.22655183401366,2026-07-19T18:48:08.524652+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_008,fixed_size,fs_256_50,rq3_fixed_size,1624,1849,1443,3292,0.00334825,0.2711006249955972,5.170900112716481e-05,0.0007758330029901117,26.15846579198842,26.430393958988134,2026-07-19T18:48:54.193630+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_009,fixed_size,fs_256_50,rq3_fixed_size,1624,1844,1794,3638,0.004049,0.7496380419979687,5.3916999604552984e-05,0.0007542920066043735,29.95802404198912,30.708470292993297,2026-07-19T18:49:47.238613+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_010,fixed_size,fs_256_50,rq3_fixed_size,1528,1744,790,2534,0.002016,0.274479166000674,5.041699478169903e-05,0.00074487499659881,10.517423542012693,10.792698000004748,2026-07-19T18:50:17.398028+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_011,fixed_size,fs_256_50,rq3_fixed_size,1663,1896,1205,3101,0.002884,0.30378983399714343,5.0249997002538294e-05,0.0008059579995460808,18.225579958001617,18.53022599999531,2026-07-19T18:50:47.552768+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_012,fixed_size,fs_256_50,rq3_fixed_size,1720,1946,981,2927,0.0024485,0.2810730830024113,5.041699478169903e-05,0.0008058329985942692,10.888774749997538,11.170704082993325,2026-07-19T18:51:10.841205+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_013,fixed_size,fs_256_50,rq3_fixed_size,1564,1789,947,2736,0.00234125,0.2915146250015823,5.0582995754666626e-05,0.0008033750054892153,10.524070459010545,10.816439042013371,2026-07-19T18:51:35.473864+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_014,fixed_size,fs_256_50,rq3_fixed_size,1635,1861,493,2354,0.00145125,0.30447999999887543,5.03330011270009e-05,0.0007618330128025264,6.046773750014836,6.352065916027641,2026-07-19T18:51:52.881996+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_015,fixed_size,fs_256_50,rq3_fixed_size,1628,1849,398,2247,0.00125825,0.3013761250040261,5.0334005209151655e-05,0.0008679169986862689,4.815428833011538,5.117723209019459,2026-07-19T18:52:05.381299+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_016,fixed_size,fs_256_50,rq3_fixed_size,1612,1842,919,2761,0.0022985,0.3022312909961329,5.062500713393092e-05,0.0007530840230174363,12.097106125002028,12.400141125028313,2026-07-19T18:52:21.975695+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_017,fixed_size,fs_256_50,rq3_fixed_size,1595,1811,1022,2833,0.00249675,0.2978114159996039,5.104099545860663e-05,0.0007590830209665,24.92740879097255,25.22603033098858,2026-07-19T18:52:59.219826+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_018,fixed_size,fs_256_50,rq3_fixed_size,1598,1819,1104,2923,0.00266275,0.2712683339996147,5.3499999921768904e-05,0.0006883330061100423,13.106731250009034,13.37874141701468,2026-07-19T18:53:25.391435+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_019,fixed_size,fs_256_50,rq3_fixed_size,1555,1786,1459,3245,0.0033645,0.40646254099556245,5.412500468082726e-05,0.0007046249811537564,26.204959458002122,26.61218074898352,2026-07-19T18:54:07.373353+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
q4eu_020,fixed_size,fs_256_50,rq3_fixed_size,1532,1778,2162,3940,0.0047685,0.291420499997912,5.591599619947374e-05,0.0007294999959412962,31.803815457999008,32.09602137398906,2026-07-19T18:54:54.029653+00:00,openai/gpt-5-mini,64d46fdff6e11d8a88db56a6660a5687214b163541b8f3c0c21b74dfa1b0505f
